"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"79",-32366,-33575,-36348,-9962.8,-24444,-13275,-19131,-8538.4,-20546,-13958,-26673,-3632.7,-32457,-20302,-24572,-27171,-11874,-17294,-17629,-13897,-16442,-9496.3,-6244.5,-16509,-17451,-11412,-13131,-14781,-18177,-17522,-25654,-9388.2,-25910,-15732,-1458,-26646,-7558.3,-18294,-19817,-26009
"80",-12127,-36417,-36188,-11114,-25030,-10024,-22725,-11322,-23606,-14896,-22078,-21280,-22626,-19997,-25438,-28960,-3867,-18499,-7569.6,-14409,-16624,-10181,-6454.1,-14702,-17848,-11430,-13435,-14649,-17954,-16962,-26175,-9095.2,-25636,-15331,-818.03,-26943,-8878.9,-18551,-20466,-24498
"81",-33440,-32559,-35566,-10702,-24259,-13415,-19040,-8424.1,-20660,-14082,-26486,-3387,-31256,-19670,-24268,-26562,-13422,-16588,-17900,-13659,-16665,-9748.7,-5994.4,-16207,-17505,-11232,-13174,-14517,-18416,-17462,-25683,-9165.1,-26108,-15662,-1117.7,-26636,-7763.4,-18508,-20223,-25417
"82",-12577,-36018,-35479,-11500,-23856,-9356.6,-23601,-11149,-24348,-15552,-22308,-20791,-23121,-21006,-25875,-29235,-4374.1,-19198,-7008.5,-14454,-16951,-10197,-6318.9,-14936,-17710,-11228,-13003,-14390,-18021,-16912,-26445,-8590.4,-25346,-15525,-229.86,-26720,-9399.4,-18537,-20667,-24417
"83",-31942,-33519,-35710,-10966,-24762,-13641,-18974,-8995.6,-20038,-13819,-26688,-4211.8,-31477,-19576,-24086,-26628,-13034,-17001,-18010,-13352,-16466,-8971.3,-5651.8,-16293,-17870,-11212,-12836,-14463,-18179,-17542,-26247,-8887.9,-25788,-16070,-885.63,-26646,-7409.6,-18188,-20325,-26105
"84",-12239,-35726,-35111,-10923,-23810,-10765,-23467,-10913,-23050,-14954,-21870,-20448,-22669,-20391,-25544,-28784,-3468.2,-19700,-6620.8,-14123,-17048,-9733,-6203.9,-14614,-18123,-11292,-12581,-14324,-17843,-17276,-26132,-8682.8,-25229,-15761,-6.7606,-26740,-8899.2,-18628,-20739,-24348
"85",-31604,-34563,-35937,-10461,-25049,-13372,-18733,-8789.8,-20307,-14314,-26220,-3567.3,-32401,-18237,-23881,-26188,-12113,-15964,-18560,-13271,-16931,-8869.9,-5798.3,-16288,-18231,-11256,-12692,-14184,-18578,-17822,-25544,-8770.7,-25884,-15883,-770.7,-26291,-7605.6,-18673,-20466,-25709
"86",-13389,-36805,-35081,-11304,-23521,-10073,-23187,-11324,-23733,-15385,-21634,-20926,-22606,-19017,-25458,-29194,-5054.6,-18788,-7662,-13783,-17341,-9654.1,-6194.9,-15218,-18592,-10972,-13082,-14469,-17925,-17164,-26190,-8694.1,-25511,-15750,-430.42,-26898,-9176.3,-18815,-20690,-24063
"87",-31096,-34593,-35774,-10853,-24078,-13170,-18133,-8690.8,-19230,-15126,-27520,-3197.7,-31825,-19185,-23105,-26314,-13591,-17030,-19786,-12696,-16825,-8856.3,-5129,-16750,-18010,-11130,-12302,-14585,-18254,-17858,-26184,-8919.4,-26004,-15899,-1482.8,-26420,-7734.1,-18774,-20137,-25453
"88",-13387,-36028,-36127,-12390,-24900,-10540,-23164,-11695,-24124,-14637,-23597,-21248,-22669,-18451,-25388,-28331,-4202.8,-19056,-6647.9,-14211,-16915,-9566.2,-5656.3,-15362,-18021,-11304,-12744,-14702,-17393,-17656,-26562,-8788.7,-25630,-15779,-464.23,-26748,-9271,-18785,-20931,-24097
"89",-31086,-33346,-35657,-10145,-25188,-13706,-18387,-9843.8,-21123,-12521,-27263,-3991,-32472,-19134,-23279,-26242,-12230,-15923,-19511,-13780,-16570,-8527.3,-5588.7,-16872,-17537,-11274,-12987,-15106,-18391,-18048,-26596,-9142.5,-25587,-15813,-1160.6,-26616,-7594.4,-18797,-20334,-25818
"90",-12655,-36061,-35683,-10977,-24885,-9442.3,-22649,-11398,-24046,-15486,-22695,-20692,-22799,-19304,-25742,-28665,-4617.5,-19903,-6483.4,-14711,-17091,-9527.9,-6397.7,-15396,-17952,-11366,-12933,-15375,-17956,-17550,-26704,-8619.7,-25742,-15642,-714.37,-27111,-8955.5,-18889,-20913,-24386
"91",-30936,-33755,-37021,-9737.5,-24515,-12978,-18463,-8576.5,-21625,-14918,-27259,-3894.1,-32165,-18895,-24345,-25692,-12678,-16086,-19540,-13706,-16805,-8930.7,-5897.5,-16845,-17976,-11428,-12800,-15530,-18824,-18058,-26233,-8831.5,-26105,-15944,-1158.3,-26745,-7571.8,-18596,-20539,-25679
"92",-13039,-34392,-35614,-12002,-25679,-9588.7,-23637,-11736,-24488,-15234,-23768,-20149,-22900,-20170,-25203,-28347,-4680.6,-20543,-6361.7,-14560,-17030,-9958.3,-6321.1,-14684,-18186,-11506,-12845,-15642,-18700,-17514,-26278,-8919.4,-25618,-15770,-838.31,-26702,-9043.4,-18704,-20780,-24340
"93",-30522,-33897,-36653,-10499,-25680,-12681,-20010,-7901,-21128,-14535,-27826,-3409.6,-32292,-18550,-24221,-25692,-12615,-16032,-19966,-14127,-16347,-9280,-5825.4,-16257,-17656,-11642,-12575,-15479,-18916,-18034,-26112,-9476.1,-26263,-16457,-1437.7,-26524,-7767.9,-18596,-20658,-25636
"94",-14171,-35451,-35779,-11022,-25603,-9180.8,-23401,-11444,-24363,-14688,-22880,-21438,-23180,-18916,-26391,-29366,-4588.2,-19317,-6071,-14970,-16717,-10136,-6798.9,-15137,-18118,-11428,-12595,-15332,-18583,-17766,-26540,-9225.9,-26471,-16453,-838.31,-26690,-9304.8,-18932,-20886,-24137
"95",-28917,-33917,-37359,-10711,-25131,-12985,-19523,-8474.9,-21755,-13589,-27110,-4045.1,-32998,-18928,-22857,-25834,-11980,-15806,-20203,-13994,-16590,-9099.7,-6073.2,-16757,-17938,-11484,-12207,-15528,-19096,-18324,-26190,-9440,-26700,-16868,-1304.8,-26514,-8108.2,-18774,-20421,-25757
"96",-14075,-35921,-35921,-11328,-25493,-9879.4,-24345,-11688,-23972,-14709,-23083,-21289,-23749,-18964,-26362,-29755,-4748.2,-19008,-6661.4,-14718,-16651,-9938,-6573.5,-14837,-17839,-11360,-12248,-15380,-18623,-17814,-26332,-9460.3,-26499,-16257,-944.23,-26730,-10053,-18711,-20958,-24198
"97",-29572,-35449,-37140,-10170,-24793,-12545,-17879,-8759.4,-21412,-13420,-27288,-4534.1,-33590,-19733,-23624,-26616,-11576,-16029,-20417,-13961,-16264,-8953.2,-5897.5,-16052,-17336,-11348,-12203,-15279,-19096,-18148,-25961,-9764.5,-26334,-16115,-1214.6,-26743,-8441.7,-18828,-20744,-25590
"98",-14159,-36592,-34687,-12072,-25215,-9171.8,-24114,-11096,-24033,-15349,-22377,-21086,-22273,-18684,-26123,-30601,-4556.6,-19694,-6138.6,-14781,-16572,-10161,-6460.8,-14767,-17490,-11400,-12879,-14987,-18254,-17542,-25837,-9550.4,-25963,-15723,-561.13,-26705,-9545.9,-18842,-21190,-24513
"99",-28815,-34951,-36424,-10375,-25251,-13235,-19098,-9114.9,-22230,-14096,-26866,-4811.3,-32881,-19520,-23673,-26197,-11495,-15477,-20419,-13945,-16079,-9034.4,-5872.7,-16061,-17625,-11508,-12883,-14982,-18797,-18480,-26035,-9753.2,-25978,-16122,-795.49,-25902,-7993.2,-18504,-20899,-26207
"100",-14756,-35807,-34928,-11340,-25499,-11362,-23891,-11396,-25196,-14362,-23385,-21915,-22202,-19660,-26540,-29695,-4960,-20728,-7132.4,-14565,-16554,-9735.2,-6472.1,-14468,-18006,-11232,-12958,-14730,-18486,-17986,-26251,-9214.6,-25750,-15998,-173.52,-26385,-9029.9,-18731,-21262,-25117
"101",-28295,-34989,-37293,-9498.6,-25483,-13580,-19220,-8830.5,-22855,-13384,-27349,-4283.9,-32897,-19314,-23752,-26048,-11207,-15599,-21294,-14105,-16372,-8407.9,-6242.3,-16444,-18150,-11292,-12818,-14535,-19076,-18260,-26107,-9600,-26237,-16151,-198.31,-26598,-7312.7,-18528,-20789,-26108
"102",-14430,-35622,-34933,-11727,-25360,-10163,-24411,-11093,-23670,-15207,-23292,-21296,-22042,-19858,-27723,-30580,-5548.2,-20025,-7042.3,-14774,-17235,-9624.8,-6834.9,-15261,-18339,-10978,-12802,-14301,-18217,-17660,-26438,-9744.2,-26326,-15570,169.01,-27060,-8588.2,-18749,-21318,-24142
"103",-28340,-35487,-37021,-10172,-25902,-13289,-19058,-9023.5,-23152,-14024,-26605,-5485.1,-32902,-19332,-23779,-25891,-11376,-15754,-21717,-14533,-16759,-8836.1,-6062,-16859,-17938,-11376,-12960,-14481,-18749,-18216,-26456,-9883.9,-26743,-15953,-820.28,-26761,-7441.1,-18878,-20870,-25806
"104",-14309,-35667,-34814,-11673,-25202,-9703.7,-24135,-11644,-24089,-15464,-23606,-21215,-23586,-19457,-27166,-29406,-5077.2,-20532,-5699.2,-15218,-17034,-9897.5,-6560,-15121,-17893,-11400,-12739,-14342,-18450,-17618,-26384,-9453.5,-26408,-15813,-998.31,-27233,-8721.1,-19058,-21647,-24833
"105",-28206,-34283,-37120,-10278,-24811,-13737,-19431,-9307.9,-22827,-14443,-27365,-5392.7,-33105,-19347,-23452,-25005,-10745,-16338,-20309,-14456,-16509,-8863.1,-5627,-16805,-17636,-11412,-12667,-14776,-18853,-17766,-25976,-9773.5,-26504,-15838,-1620.3,-27200,-7583.1,-18628,-21109,-26276
"106",-15749,-36223,-35926,-11624,-25354,-10812,-23274,-12688,-23873,-15358,-22954,-21546,-23868,-19451,-27033,-30454,-5798.3,-20861,-5383.7,-15223,-16838,-10010,-6010.1,-15153,-18362,-11010,-12786,-14817,-18459,-17462,-25949,-9525.6,-26108,-15439,-1367.9,-27388,-8457.5,-18930,-21208,-24757
"107",-28866,-34814,-38555,-10006,-26142,-13875,-19642,-8706,-22042,-14452,-26357,-5165.1,-32767,-19695,-23998,-25541,-10756,-15355,-19646,-14522,-16279,-8921.7,-5647.3,-16397,-18071,-11178,-12989,-15137,-19288,-17966,-26094,-9780.3,-26740,-15567,-1874.9,-27154,-7515.5,-18749,-20976,-26121
"108",-17128,-34265,-34748,-12176,-25984,-10229,-23797,-12663,-24069,-15673,-23689,-21938,-23436,-19129,-26839,-29870,-7132.4,-20151,-4953.2,-14828,-16877,-10249,-6208.5,-15261,-18499,-11132,-12919,-15200,-18939,-17150,-26445,-9660.8,-26850,-15574,-1284.5,-27081,-9237.2,-19182,-20974,-25183
"109",-27624,-34982,-37486,-9536.9,-25014,-13663,-19109,-8495.2,-23429,-14619,-26330,-5316.1,-32841,-19698,-23779,-25363,-11173,-15554,-20489,-14321,-16557,-8923.9,-5622.5,-16712,-18323,-11124,-12798,-15081,-19254,-17484,-26697,-9841.1,-26811,-15876,-1832.1,-26801,-8038.3,-18407,-20392,-26555
"110",-17346,-34319,-34509,-12124,-26204,-10648,-23789,-12119,-24147,-14774,-23164,-20994,-22611,-19314,-27820,-29575,-5863.7,-21059,-5266.5,-14909,-16847,-10335,-5978.6,-15031,-18348,-10746,-13115,-14768,-18767,-17116,-26779,-9649.6,-26555,-15781,-1618,-26819,-9165.1,-18772,-20654,-24874
"111",-28157,-34303,-38055,-9316.1,-25564,-14864,-19736,-9193.7,-22629,-13460,-26519,-5214.6,-33397,-19624,-23225,-24041,-11236,-15662,-20847,-14452,-16300,-9214.6,-5338.6,-16320,-17780,-10962,-13472,-15266,-19022,-17388,-26894,-9865.9,-26590,-15770,-1906.5,-26667,-7761.1,-18619,-20512,-26164
"112",-16846,-34598,-34580,-12442,-25912,-9897.5,-23972,-10870,-23650,-15150,-23337,-20863,-21823,-19134,-27741,-29260,-6158.9,-21303,-5947,-14612,-16832,-10693,-5911,-14774,-18231,-10608,-13287,-14890,-18472,-16498,-26749,-9065.9,-26499,-15639,-1372.4,-26590,-9016.3,-19092,-20552,-24693
"113",-27142,-35248,-37590,-9624.8,-25021,-13970,-19253,-8792.4,-21950,-14181,-25848,-4651.3,-33603,-19373,-22661,-24349,-11180,-13947,-20690,-14039,-16277,-9699.2,-5153.8,-15784,-18215,-11196,-13097,-14946,-19076,-16894,-26353,-9318.3,-26596,-15986,-1575.2,-26702,-7835.5,-18637,-20183,-25283
"114",-17722,-34535,-34715,-11784,-25919,-9865.9,-23703,-11337,-22781,-14756,-23779,-20584,-22400,-18885,-26193,-29677,-5944.8,-20487,-5106.5,-14752,-16527,-10930,-5922.3,-14272,-18168,-11046,-12883,-14817,-18587,-16698,-26436,-8960,-26237,-15890,-1424.2,-26517,-8739.2,-18885,-20457,-24089
"115",-26298,-34006,-38509,-8552.1,-25858,-13805,-18733,-9041.3,-21603,-14339,-26718,-4845.1,-32361,-19467,-22287,-23743,-10033,-14650,-19849,-14229,-16043,-9690.1,-5440,-16110,-17943,-11242,-12958,-15284,-19020,-16994,-26790,-9034.4,-25783,-16354,-1489.6,-26367,-7571.8,-18619,-20072,-25095
"116",-16465,-34281,-35708,-12183,-25125,-10447,-22319,-11754,-22916,-14612,-23279,-20457,-21854,-19091,-27721,-28624,-6291.8,-19369,-4741.4,-14738,-16534,-10981,-5760,-14722,-18019,-10694,-12953,-14857,-17884,-16666,-26533,-8910.4,-25757,-16358,-1000.6,-27032,-8820.3,-19020,-20584,-23454
"117",-24825,-35863,-37796,-9705.9,-25411,-12719,-18629,-8599.4,-22951,-13868,-26121,-4651.3,-33201,-19683,-23921,-24083,-10499,-13370,-19905,-14384,-16318,-9622.5,-5325.1,-16376,-17906,-11048,-13070,-15020,-18587,-16990,-26715,-9372.4,-25994,-16279,-1512.1,-26723,-7535.8,-18447,-20667,-24587
"118",-16543,-33821,-34705,-11826,-25817,-8973.5,-23457,-12881,-22568,-13859,-23989,-20149,-21846,-18469,-27265,-30749,-5760,-19883,-4685.1,-14848,-16892,-10506,-6082.3,-14736,-18405,-10736,-13034,-14763,-17972,-16652,-26477,-9147,-25928,-16207,-1126.8,-26382,-8786.5,-18844,-21215,-23634
"119",-24968,-35190,-37509,-9863.7,-26283,-12559,-19426,-8688.3,-21740,-13512,-26287,-5349.9,-32681,-18674,-23177,-24608,-10226,-14254,-19651,-14465,-16210,-9234.9,-5667.6,-16356,-17911,-11090,-12910,-14707,-18497,-17364,-26711,-9559.4,-26095,-16678,-838.31,-26161,-7571.8,-18373,-20651,-24772
"120",-17674,-35167,-34255,-12505,-25952,-8750.4,-24221,-12206,-23708,-14555,-24113,-20038,-21747,-18644,-28135,-30037,-6016.9,-20309,-4842.8,-14709,-16746,-10436,-6336.9,-14975,-18089,-10876,-13197,-14507,-18682,-17570,-26202,-8939.7,-26093,-16297,-714.37,-26570,-8829.3,-18601,-20712,-23385
"121",-24122,-35263,-37818,-9552.7,-26134,-13179,-19413,-9201.3,-23383,-13674,-26734,-5956.1,-33707,-19436,-23396,-24045,-9165.1,-14123,-20381,-14445,-16133,-9187.6,-5714.9,-16444,-17915,-11388,-13291,-14951,-19268,-17990,-25985,-9307,-26532,-16548,-937.46,-26603,-7738.6,-18414,-20604,-24932
"122",-17217,-35025,-34189,-11984,-26251,-8951,-22740,-11921,-22908,-14808,-24334,-20041,-21133,-18740,-27292,-30970,-5354.4,-20559,-4293,-14808,-16512,-10875,-6145.4,-14844,-18452,-10908,-13372,-14331,-18314,-17476,-25902,-9219.2,-26390,-16007,-766.2,-26707,-9086.2,-18729,-20730,-24180
"123",-24759,-35820,-38819,-9760,-25439,-13785,-21166,-8596.8,-22893,-14537,-26546,-5627,-32841,-19573,-23144,-24205,-9059.2,-14725,-20590,-14610,-16268,-9471.5,-5554.9,-16554,-18677,-11208,-13566,-14842,-19173,-18084,-26366,-9748.7,-26375,-16185,-619.72,-26331,-8234.4,-18335,-20437,-25097
"124",-18649,-34486,-33618,-12417,-25766,-9694.6,-23563,-11342,-23517,-14900,-24088,-20142,-21829,-19241,-27786,-30434,-6472.1,-20690,-4730.1,-14984,-16678,-10486,-6125.1,-15060,-19065,-10942,-13163,-15190,-18770,-17760,-26263,-9516.6,-26100,-16072,-329.01,-26027,-9210.1,-18898,-21084,-24404
"125",-24432,-35771,-37796,-9440,-25699,-12892,-19058,-8647.6,-22187,-14407,-26984,-5951.5,-32935,-18783,-23369,-24651,-9588.7,-14894,-20640,-15065,-16243,-9374.6,-5523.4,-16460,-18328,-11472,-13571,-15619,-19696,-18078,-26321,-9753.2,-25765,-16124,-369.58,-26001,-8220.8,-18722,-20946,-24937
"126",-18750,-34631,-34626,-13672,-25174,-9239.4,-23106,-12028,-23299,-14632,-23479,-20512,-21945,-19070,-26720,-30853,-6774.1,-20536,-5176.3,-15410,-17106,-10445,-5870.4,-15403,-18407,-10890,-13269,-15393,-19299,-17462,-25985,-9415.2,-25854,-15975,-473.24,-26545,-9162.8,-19419,-21001,-23815
"127",-23817,-36079,-37587,-9561.7,-25577,-13904,-19035,-8002.5,-23152,-14240,-26184,-6544.2,-33288,-19467,-22722,-25300,-9811.8,-14864,-20953,-15051,-16329,-9124.5,-5397.2,-16773,-18258,-11180,-13019,-15716,-19817,-17712,-26648,-9658.6,-26438,-16072,-414.65,-26519,-7995.5,-18927,-20764,-25377
"128",-19738,-34672,-33526,-13100,-24895,-9789.3,-22954,-11741,-21785,-14003,-24304,-19808,-21590,-18601,-28079,-30722,-8311,-21363,-4387.6,-14684,-16883,-10312,-5856.9,-15306,-18474,-10660,-12994,-15324,-19072,-16896,-26222,-9167.3,-26550,-16430,-270.42,-26829,-8978,-19290,-21765,-24282
"129",-24066,-35205,-38507,-9600,-25699,-14010,-19241,-8734,-23423,-14549,-26033,-6298.6,-33331,-19647,-22211,-25136,-9498.6,-14459,-21201,-14184,-16581,-9000.6,-5237.2,-16331,-18416,-10948,-13093,-15291,-19439,-17178,-26121,-9367.9,-26387,-16536,-480,-26811,-7959.4,-19180,-21118,-25643
"130",-20254,-35469,-34456,-12196,-24976,-9334.1,-22679,-11830,-22504,-14465,-23527,-19804,-20805,-18860,-26382,-30549,-8236.6,-22105,-5241.7,-14702,-17361,-10528,-5859.2,-14682,-19150,-10720,-13028,-15502,-18598,-17036,-25873,-8525.1,-26248,-16399,-419.15,-27218,-8626.5,-19685,-21037,-24604
"131",-23911,-35962,-38842,-9719.4,-24496,-13075,-19624,-8429.2,-22359,-14675,-25625,-7450.1,-32625,-20607,-22429,-25016,-10425,-13904,-21404,-14395,-17043,-9219.2,-5329.6,-16088,-18603,-11614,-13199,-15721,-18966,-17352,-26078,-8914.9,-26474,-16469,-310.99,-27614,-7855.8,-19362,-21016,-25704
"132",-21341,-33587,-33910,-12854,-25605,-9552.7,-24500,-11187,-22405,-13665,-23935,-19475,-20846,-18458,-27094,-31195,-8117.2,-21032,-4286.2,-14605,-17573,-10220,-6143.1,-14715,-18515,-11228,-13269,-15528,-18679,-17040,-25654,-8664.8,-26806,-16034,-671.55,-27307,-8394.4,-19757,-21348,-24866
"133",-24183,-36810,-39583,-8854.1,-25110,-14206,-19556,-7563.2,-22949,-15383,-26364,-7283.4,-32264,-20993,-22758,-24631,-9996.6,-14386,-21485,-14677,-17170,-9061.4,-5239.4,-16151,-18425,-11652,-13449,-15523,-19448,-17382,-26008,-9426.5,-26687,-15813,-813.52,-27406,-7556.1,-19326,-21447,-26474
"134",-21697,-34870,-34494,-12435,-25021,-10287,-22801,-11632,-23218,-14073,-23527,-19824,-22217,-19073,-28277,-31365,-8441.7,-20798,-5579.7,-14492,-17706,-10715,-6294.1,-14452,-18655,-11020,-13399,-14778,-18578,-17158,-25877,-9264.2,-26898,-15995,-809.01,-27561,-8745.9,-19328,-21812,-25145
"135",-22397,-36472,-38982,-9888.5,-24544,-13751,-19294,-8076.2,-23180,-14866,-25519,-7305.9,-31688,-20394,-22637,-24631,-9151.5,-15085,-20309,-14411,-16962,-9286.8,-5417.5,-15892,-18540,-11446,-13379,-15289,-19590,-17748,-26299,-9622.5,-26728,-16171,-953.24,-27360,-8220.8,-19074,-21201,-25816
"136",-22248,-34796,-35497,-12667,-25224,-10988,-23680,-12500,-22370,-14756,-25336,-19527,-20907,-18781,-28782,-31509,-7650.7,-22150,-5365.6,-14885,-17451,-10794,-5845.6,-14882,-18522,-10798,-13361,-15330,-19035,-17324,-25866,-9611.3,-26453,-15874,-953.24,-27411,-8878.9,-19601,-21451,-24747
"137",-23578,-37021,-38354,-8869.9,-25368,-14495,-19599,-8637.5,-24734,-13979,-25517,-8178,-33831,-19952,-23570,-25262,-9246.2,-13983,-20651,-14828,-16604,-9334.1,-5108.7,-16617,-18141,-11716,-13350,-15614,-19561,-17750,-26281,-9886.2,-26512,-15930,-766.2,-27530,-8063.1,-19236,-21115,-25719
"138",-24033,-35672,-33625,-12807,-24885,-10434,-24208,-11677,-23073,-14553,-24626,-19247,-21374,-19081,-28631,-31506,-8223.1,-21891,-3954.9,-14826,-17420,-10646,-5658.6,-15157,-18452,-11260,-13210,-15728,-18963,-17356,-25814,-9563.9,-26735,-15538,-818.03,-27299,-8869.9,-19739,-20949,-25084
"139",-23299,-37156,-39418,-9530.1,-24701,-13776,-20554,-7720.6,-23860,-14407,-26362,-7979.7,-32716,-20452,-23132,-24433,-8218.6,-13478,-20225,-14709,-17005,-9113.2,-5385.9,-16690,-18157,-11650,-13426,-15985,-19534,-17898,-26235,-9935.8,-26809,-15759,-480,-27195,-8166.8,-19058,-21109,-26131
"140",-23076,-34497,-33404,-13375,-24913,-10535,-24056,-11782,-23243,-14853,-24847,-20325,-22237,-18677,-29088,-31543,-7366.8,-21909,-4782,-14632,-17508,-10497,-5978.6,-15385,-18100,-11006,-13260,-15063,-19189,-17848,-25855,-9122.3,-27139,-15946,-349.3,-26928,-9018.6,-19752,-21348,-25153
"141",-22933,-36383,-39271,-8338,-25779,-13864,-21415,-9290.2,-24526,-15421,-25710,-8705.4,-32919,-18585,-23056,-25156,-7991,-14057,-20081,-14758,-17088,-8824.8,-5169.6,-16496,-18175,-11592,-13321,-14900,-19594,-18232,-26353,-9523.4,-27187,-16367,-320,-26768,-8340.3,-19094,-20701,-26237
"142",-24221,-34263,-34085,-13296,-25842,-10208,-23812,-11898,-24097,-15072,-25330,-19858,-21897,-17989,-27941,-32401,-8804.5,-22366,-5361.1,-14720,-17929,-9933.5,-5983.1,-15020,-18375,-10966,-12888,-14877,-19002,-18104,-25855,-9480.6,-26580,-16597,-660.28,-26783,-9239.4,-19750,-20744,-25580
"143",-22786,-35837,-39629,-8247.9,-26155,-13803,-21186,-7926.3,-23644,-15459,-26008,-10350,-33798,-19363,-23250,-24588,-7873.8,-14510,-19515,-14864,-16901,-8899.2,-5478.3,-16128,-17992,-11536,-13219,-15276,-19520,-18246,-26281,-9969.6,-26301,-16455,-709.86,-26651,-8655.8,-19301,-20834,-26583
"144",-24307,-34669,-33813,-12595,-26405,-10542,-23581,-10966,-24117,-13562,-25623,-19995,-22491,-19261,-28672,-32694,-8572.4,-21467,-4613,-15022,-17154,-10434,-6391,-15060,-18082,-10712,-13363,-14705,-19292,-17586,-25740,-9775.8,-26187,-16315,-1038.9,-26456,-9352.1,-19748,-20967,-25608
"145",-21669,-36013,-38712,-7952.7,-25857,-14783,-21110,-7436.2,-25084,-15407,-25913,-9257.5,-32803,-19972,-22659,-24581,-8428.2,-14199,-20714,-15349,-16681,-9117.7,-5678.9,-16349,-18033,-11234,-13674,-15162,-19714,-17888,-26240,-9947,-26060,-16649,-1280,-26557,-8538.6,-19117,-20602,-26334
"146",-25534,-33956,-34819,-12672,-26512,-11412,-23848,-12086,-23891,-14916,-24667,-20512,-22057,-18639,-28306,-31362,-8047.3,-23531,-4581.4,-15173,-17517,-10650,-6323.4,-15374,-18395,-10748,-13713,-15070,-19252,-17522,-25956,-9455.8,-25978,-16645,-1374.6,-26400,-9156.1,-19378,-21082,-25595
"147",-21846,-36935,-39586,-9347.6,-25957,-14646,-22017,-9170.8,-24018,-15493,-25517,-9717.2,-33244,-18979,-22267,-25345,-8718.9,-15105,-20917,-15047,-16694,-8881.1,-6366.2,-16635,-18461,-11840,-13940,-15914,-19655,-17694,-26846,-9615.8,-25963,-16714,-1070.4,-27144,-8421.4,-18700,-21082,-26034
"148",-26095,-34883,-34438,-12588,-26213,-10337,-24003,-12251,-23538,-14481,-26490,-19941,-22052,-18890,-28780,-32232,-8991.5,-22317,-4513.8,-14774,-17352,-10416,-7118.9,-15563,-18688,-11440,-13440,-15650,-19177,-17808,-26411,-9563.9,-26491,-16417,-1309.3,-27655,-9444.5,-19416,-21361,-25107
"149",-21087,-37496,-39738,-8218.6,-26249,-14150,-20688,-8200.6,-25374,-15466,-26968,-9791.5,-32978,-19815,-23675,-25023,-7835.5,-13451,-20428,-14765,-16807,-9083.9,-6803.4,-16777,-18589,-12098,-13742,-15934,-19698,-18326,-26815,-10037,-26611,-16302,-1300.3,-27492,-9047.9,-18909,-20908,-25666
"150",-25989,-35487,-34611,-13357,-26224,-11531,-23947,-12206,-23751,-15630,-25264,-19337,-21719,-18877,-28940,-31340,-8489,-22812,-3585.4,-14715,-17384,-10848,-6949.9,-15630,-18641,-11228,-13562,-15759,-19141,-17862,-26242,-9733,-26956,-16198,-1545.9,-27286,-9304.8,-19570,-20910,-25051
"151",-22037,-37625,-40150,-10265,-26647,-14055,-22171,-9021,-25303,-15930,-25794,-10168,-33183,-19258,-23051,-24097,-8000,-13679,-19416,-15108,-16642,-9487.3,-6357.2,-16397,-18713,-11902,-14044,-16137,-20011,-18054,-26695,-10245,-26420,-16133,-1309.3,-27970,-8804.5,-19236,-20726,-25884
"152",-27457,-35225,-33473,-14012,-25034,-10957,-24559,-12104,-22575,-15110,-26015,-19786,-22692,-18029,-28773,-32036,-10024,-22909,-4434.9,-15035,-17188,-10623,-6722.3,-14907,-19130,-11508,-13550,-16025,-19545,-17808,-26116,-9929,-26446,-16072,-1681.1,-27810,-9507.6,-19953,-20886,-25521
"153",-21338,-37298,-40066,-8619.7,-26045,-14594,-21412,-8767,-23987,-14963,-26044,-10407,-32343,-19291,-22894,-24462,-6769.6,-14963,-19815,-15288,-16843,-9264.2,-6016.9,-16347,-18107,-12022,-13514,-16008,-20185,-18300,-26549,-10305,-26184,-16255,-1379.2,-27606,-9038.9,-19525,-21215,-26258
"154",-27063,-34931,-34372,-13864,-25819,-10402,-23650,-12183,-23162,-14734,-25357,-18490,-22448,-18425,-28309,-31504,-9917.7,-22729,-4545.4,-14959,-17118,-10666,-6404.5,-15065,-18317,-11408,-13003,-15520,-19272,-18196,-25956,-9681.1,-26499,-16074,-1214.6,-27103,-9352.1,-19815,-21303,-25445
"155",-20848,-38560,-40731,-8338,-26628,-14125,-19987,-8459.7,-25115,-15410,-26292,-10815,-33719,-20033,-22695,-24631,-6620.8,-15367,-20539,-15040,-16629,-9257.5,-5748.7,-15813,-18483,-11972,-13501,-15677,-19829,-18362,-26673,-9906.5,-26451,-15804,-849.58,-27243,-8775.2,-19351,-20764,-25981
"156",-27218,-34489,-35157,-13927,-27095,-10465,-23457,-11058,-22799,-14763,-25623,-18402,-22654,-18974,-28482,-31617,-9158.3,-22006,-3310.4,-14715,-17303,-10824,-6487.9,-15083,-18776,-11106,-12951,-15512,-19290,-18262,-25994,-9458,-26743,-15876,-732.39,-27236,-8937.5,-19968,-20906,-25135
"157",-20114,-37869,-39571,-8202.8,-26259,-14330,-20884,-8774.6,-25570,-15554,-25602,-10260,-32643,-19035,-22767,-24187,-6526.2,-14770,-19295,-14830,-16352,-9390.4,-6206.2,-16228,-18395,-11962,-13212,-16328,-19558,-18452,-26574,-9791.5,-26692,-16196,-238.87,-27756,-8223.1,-19464,-21012,-25509
